hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 472 Hotel Asyra,Makassar,2.0,6.3,117 reviews,33862,Makassar,Indonesia,472981,booking
OYO 1301 Hotel Grand Citra,Makassar,2.0,8.5,48 reviews,39046,Makassar,Indonesia,2970277,booking
Capital O 1279 Hotel Grand Celino Makassar,Makassar,3.0,7.7,83 reviews,62410,Makassar,Indonesia,416756,booking
OYO 637 Hotel Yasmin,Makassar,2.0,7.2,82 reviews,36102,Makassar,Indonesia,340186,booking
RedDoorz Plus near Sultan Hasanuddin Airport,Makassar,3.0,7.0,53 reviews,65612,Makassar,Indonesia,3624909,booking
OYO 308 Grand Pacifik Hotel,Makassar,2.0,7.5,25 reviews,34949,Makassar,Indonesia,1225430,booking
OYO 1990 Pondok Ripuji,Makassar,2.0,8.4,3 reviews,28448,Makassar,Indonesia,5764942,booking
RedDoorz Plus @ Boulevard Panakkukang,Makassar,3.0,8.5,17 reviews,49979,Makassar,Indonesia,4735144,booking
RedDoorz Plus @ Otista Garut,Garut,2.0,7.1,17 reviews,50914,Garut,Indonesia,5002928,booking
OYO 635 Lynt Hotel,Makassar,2.0,6.6,66 reviews,34955,Makassar,Indonesia,1041920,booking
OYO 1314 Wijaya Inn,Makassar,2.0,nan,nan,47685,Makassar,Indonesia,5440129,booking
OYO 2703 Hotel Transit 1,Makassar,2.0,nan,nan,34837,Makassar,Indonesia,6025873,booking
OYO 1906 Zhafira Residence,Makassar,2.0,7.7,3 reviews,27279,Makassar,Indonesia,5770680,booking
SPOT ON 1968 Grand Azizah,Makassar,2.0,nan,nan,40872,Makassar,Indonesia,5765879,booking
RedDoorz Plus @ Panakkukang Makassar 2,Makassar,nan,nan,nan,67213,Makassar,Indonesia,6288712,booking
RedDoorz Syariah near MTC Karebosi,Makassar,nan,9.0,5 reviews,35183,Makassar,Indonesia,5493182,booking
OYO 3166 Witte Steen Residence,Makassar,2.0,nan,nan,32465,Makassar,Indonesia,6275322,booking
OYO 2552 Hotel Permata,Makassar,2.0,6.2,4 reviews,46669,Makassar,Indonesia,470319,booking
Capital O 2009 Hotel Charisma Marine,Makassar,3.0,nan,nan,33685,Makassar,Indonesia,445100,booking
OYO 1075 Rumah Indah Losari Inn,Makassar,2.0,7.5,10 reviews,24902,Makassar,Indonesia,5277540,booking
OYO 3259 Black Orange Residence,Makassar,2.0,nan,nan,28012,Makassar,Indonesia,6303694,booking
OYO 3108 Gunung Mas Hotel & Spa,Makassar,2.0,nan,nan,32305,Makassar,Indonesia,6187143,booking
RedDoorz Syariah @ Batua Raya,Makassar,nan,nan,nan,72529,Makassar,Indonesia,5764918,booking
OYO 2849 Almira Residence,Makassar,2.0,nan,nan,33702,Makassar,Indonesia,6026290,booking
Reddoorz near Makassar Town Square 2,Makassar,nan,7.2,7 reviews,91874,Makassar,Indonesia,5500012,booking
OYO 3157 Grand City Inn,Makassar,2.0,nan,nan,38224,Makassar,Indonesia,3846095,booking
Collection O 19 Grand Malebu Makassar,Makassar,3.0,7.4,4 reviews,52207,Makassar,Indonesia,2758796,booking
SPOT ON 2214 Wisma Jampea,Makassar,2.0,8.0,5 reviews,25183,Makassar,Indonesia,2651479,booking
OYO 1633 Hotel Darma Nusantara 3,Makassar,2.0,8.1,26 reviews,30582,Makassar,Indonesia,5651210,booking
OYO 317 New Legend Hotel,Makassar,2.0,7.8,180 reviews,29920,Makassar,Indonesia,359519,booking
OYO 1560 Capital Hotel,Makassar,2.0,8.3,3 reviews,41160,Makassar,Indonesia,1077823,booking
OYO 500 Nilam Residence,Makassar,2.0,6.2,10 reviews,25685,Makassar,Indonesia,4735127,booking
OYO 1527 Hotel Barkah,Makassar,2.0,9.8,73 reviews,37832,Makassar,Indonesia,5553801,booking
OYO 1935 Hotel Diamond Inn Makassar,Makassar,2.0,9.0,15 reviews,25900,Makassar,Indonesia,5761835,booking
OYO 2704 Hotel Transit 2,Makassar,2.0,5.4,7 reviews,29419,Makassar,Indonesia,6025877,booking
SPOT ON 2742 R5 Residence,Makassar,2.0,nan,nan,29577,Makassar,Indonesia,6044836,booking
RedDoorz @ Pettarani Square,Makassar,nan,nan,nan,50104,Makassar,Indonesia,5045125,booking
RedDoorz Syariah near Jalan Somba Opu,Makassar,nan,nan,nan,137482,Makassar,Indonesia,5009328,booking
SPOT ON 2847 Anggrek Residence,Makassar,2.0,nan,nan,29516,Makassar,Indonesia,6030528,booking
OYO 2595 Hotel Jinan Makassar,Makassar,2.0,nan,nan,28274,Makassar,Indonesia,6009473,booking
SPOT ON 3228 Kost Ham,Makassar,2.0,nan,nan,101971,Makassar,Indonesia,6292680,booking
RedDoorz Plus near Karebosi Area 3,Makassar,3.0,nan,nan,305515,Makassar,Indonesia,5414855,booking
RedDoorz @ Pengayoman Panakkukang 2,Makassar,nan,8.1,4 reviews,44758,Makassar,Indonesia,5009348,booking
OYO 2291 Hotel Bahagia,Makassar,2.0,nan,nan,34788,Makassar,Indonesia,404311,booking
OYO 3469 Bontotangnga Residence,Makassar,2.0,nan,nan,58036,Makassar,Indonesia,6382926,booking
OYO 3139 Naya Residence Syariah,Makassar,2.0,nan,nan,36607,Makassar,Indonesia,6187157,booking
RedDoorz Syariah @ Hotel Semarang Batulicin,Batulicin,nan,nan,nan,305515,Kalimantan,Indonesia,5806396,booking
RedDoorz Plus near Universitas Negeri Makassar 2,Makassar,3.0,7.2,4 reviews,70672,Makassar,Indonesia,5103387,booking
RedDoorz Syariah near Ramayana Mall Tarakan,Tarakan,nan,8.0,5 reviews,49055,Kalimantan,Indonesia,5393052,booking
OYO 2882 Borneo Residence,Palangkaraya,2.0,nan,nan,46892,Kalimantan,Indonesia,6026320,booking
RedDoorz near IAIN Palangkaraya,Palangkaraya,2.0,nan,nan,75880,Kalimantan,Indonesia,4441192,booking
Capital O 1083 Hotel Grand Kartika,Samarinda,2.0,8.2,6 reviews,120799,Kalimantan,Indonesia,1317847,booking
OYO 2038 Jasmine Guest House Balikpapan,Balikpapan,2.0,8.0,7 reviews,34916,Kalimantan,Indonesia,5792749,booking
RedDoorz Syariah Plus @ Banjarbaru 2,Banjarbaru,2.0,7.6,17 reviews,44459,Kalimantan,Indonesia,1578923,booking
OYO 899 Gold Line Residence,Pontianak,2.0,7.6,5 reviews,59023,Kalimantan,Indonesia,4811900,booking
OYO 2731 MIM Residence Syariah,Balikpapan,2.0,nan,nan,34413,Kalimantan,Indonesia,6025848,booking
OYO 2193 Mama's House,Balikpapan,2.0,nan,nan,40029,Kalimantan,Indonesia,5854204,booking
OYO 850 Lapan Lapan,Banjarmasin,2.0,7.6,5 reviews,45983,Kalimantan,Indonesia,3854061,booking
OYO 3243 3 Be Garden Hotel,Penajam,2.0,nan,nan,40004,Kalimantan,Indonesia,6294166,booking
OYO 663 Hotel Sejati,Balikpapan,2.0,7.7,21 reviews,64852,Kalimantan,Indonesia,711199,booking
OYO 1989 Hotel Pelangi Harapan,Samarinda,2.0,nan,nan,36077,Kalimantan,Indonesia,5792776,booking
OYO 3304 Garuda Residence,Banjarbaru,2.0,nan,nan,33195,Kalimantan,Indonesia,6303749,booking
RedDoorz @ H. Agus Salim Street,Pontianak,2.0,5.3,3 reviews,51874,Kalimantan,Indonesia,5815722,booking
OYO 1745 Guest House Nur Aziziah 2,Balikpapan,2.0,5.6,4 reviews,28055,Kalimantan,Indonesia,5660798,booking
SPOT ON 2729 Marzan Syariah Residence,Balikpapan,2.0,nan,nan,34068,Kalimantan,Indonesia,6019455,booking
OYO 2692 Penginapan Mba Ros,Banjarbaru,2.0,nan,nan,35294,Kalimantan,Indonesia,6025962,booking
RedDoorz near RSUD Dr. Abdul Aziz,Singkawang,nan,nan,nan,53603,Kalimantan,Indonesia,5703884,booking
Capital O 949 Royal Park Hotel,Samarinda,3.0,7.9,35 reviews,91533,Kalimantan,Indonesia,2177104,booking
OYO 2343 Winolanto Guest House,Balikpapan,2.0,nan,nan,34583,Kalimantan,Indonesia,5926138,booking
RedDoorz near Samarinda Square,Samarinda,1.0,6.9,10 reviews,58689,Kalimantan,Indonesia,4673238,booking
OYO 1020 Pelita Residence,Balikpapan,2.0,7.5,4 reviews,57931,Kalimantan,Indonesia,3853939,booking
OYO 2904 Hotel Yayang Syariah,Balikpapan,2.0,nan,nan,30260,Kalimantan,Indonesia,6105053,booking
RedDoorz Plus @ Hotel Segiri Tarakan,Tarakan,3.0,6.8,3 reviews,86490,Kalimantan,Indonesia,5943721,booking
Capital O O3274 Mentaya Inn,Banjarmasin,3.0,nan,nan,83227,Kalimantan,Indonesia,6298497,booking
OYO 3344 Kanca Hotel,Banjarmasin,2.0,nan,nan,43833,Kalimantan,Indonesia,6378375,booking
RedDoorz Syariah near Bundaran Joeang,Palangkaraya,nan,nan,nan,69772,Kalimantan,Indonesia,5728609,booking
RedDoorz near Universitas Muhammadiyah Palangkaraya,Palangkaraya,2.0,nan,nan,106442,Kalimantan,Indonesia,4441326,booking
Capital O 2437 Garuda Hotel,Pontianak,3.0,8.4,49 reviews,79809,Kalimantan,Indonesia,421352,booking
OYO 3131 Sayang Residence,Makassar,2.0,nan,nan,35106,Makassar,Indonesia,6187155,booking
OYO 2301 Hocky Residence,Banjarmasin,2.0,nan,nan,28045,Kalimantan,Indonesia,5898170,booking
OYO 2187 Hm Guest House,Pontianak,2.0,nan,nan,51116,Kalimantan,Indonesia,5844727,booking
RedDoorz near Universitas Muhammadiyah Makassar,Makassar,2.0,7.8,6 reviews,37701,Makassar,Indonesia,5009376,booking
RedDoorz Plus @ Karebosi Area 2,Makassar,1.0,7.5,10 reviews,55292,Makassar,Indonesia,4352541,booking
RedDoorz Plus near Pantai Losari,Makassar,3.0,7.7,69 reviews,47818,Makassar,Indonesia,3029239,booking
RedDoorz Syariah near Pantai Losari 3,Makassar,nan,6.5,9 reviews,68924,Makassar,Indonesia,5083878,booking
RedDoorz Plus @ Grand Populer Hotel,Makassar,3.0,7.2,84 reviews,47440,Makassar,Indonesia,3029182,booking
Reddoorz Plus near Makassar Town Square,Makassar,3.0,7.8,87 reviews,64097,Makassar,Indonesia,3624847,booking
KoolKoost Syariah @ MT Haryono Street Balikpapan,Balikpapan,nan,nan,nan,91797,Kalimantan,Indonesia,5805855,booking
OYO 834 ALLETHA Residence 1,Balikpapan,2.0,nan,nan,188859,Kalimantan,Indonesia,5057473,booking
OYO 3172 Pondok Dian Minasa Upa,Makassar,2.0,nan,nan,104453,Makassar,Indonesia,6280322,booking
OYO 2879 Pondok Bunda,Banjarmasin,2.0,nan,nan,43662,Kalimantan,Indonesia,6026311,booking
RedDoorz Plus near Syamsudin Noor Airport 3,Banjarbaru,nan,8.0,3 reviews,185971,Kalimantan,Indonesia,5388388,booking
RedDoorz Plus @ Hotel Surya Batulicin,Batulicin,3.0,nan,nan,53999,Kalimantan,Indonesia,5806589,booking
OYO 2524 Royal Borneo Guesthouse,Banjarmasin,2.0,nan,nan,49412,Kalimantan,Indonesia,5966102,booking
RedDoorz Syariah near Q Mall Banjarbaru,Martapura,nan,nan,nan,40748,Kalimantan,Indonesia,4573959,booking
Capital O 1822 Wahana Inn,Singkawang,2.0,nan,nan,107955,Kalimantan,Indonesia,706685,booking
RedDoorz Syariah near Museum Lambung Mangkurat 2,Banjarbaru,nan,nan,nan,54278,Kalimantan,Indonesia,5136931,booking
RedDoorz near Taman Bekapai,Balikpapan,nan,8.9,35 reviews,95927,Kalimantan,Indonesia,3848948,booking
OYO 2197 Pulau Laut Guest House,Banjarmasin,2.0,7.5,4 reviews,39544,Kalimantan,Indonesia,5844715,booking
RedDoorz Syariah near RSU Suaka Insan,Banjarmasin,1.0,9.5,5 reviews,43440,Kalimantan,Indonesia,4596170,booking
RedDoorz near Terminal Batu Ampar,Balikpapan,nan,7.0,18 reviews,71246,Kalimantan,Indonesia,4028024,booking
RedDoorz near Sepinggan Airport Balikpapan 2,Balikpapan,nan,nan,nan,64051,Kalimantan,Indonesia,4786896,booking
RedDoorz near Taman Bekapai 2,Klandasan Kecil,nan,nan,nan,76329,Kalimantan,Indonesia,4674101,booking
OYO 1034 Pondok Mulia Residence,Balikpapan,2.0,8.0,6 reviews,38315,Kalimantan,Indonesia,5282345,booking
OYO 3189 Hsp Residence,Samarinda,2.0,nan,nan,104394,Kalimantan,Indonesia,6298487,booking
RedDoorz near Living Plaza Balikpapan 2,Balikpapan,nan,nan,nan,56100,Kalimantan,Indonesia,5609165,booking
OYO 901 Abdi Praja Residence,Balikpapan,2.0,nan,nan,66609,Kalimantan,Indonesia,4470475,booking
OYO 2886 Her Mandiri Guest House,Balikpapan,2.0,nan,nan,37557,Kalimantan,Indonesia,6026324,booking
OYO 3366 Ersha Hotel,Banjarmasin,2.0,nan,nan,37104,Kalimantan,Indonesia,6378376,booking
