hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 993 88 Mario's,Bayan Lepas,2.0,7.8,152 reviews,125020,Penang,Malaysia,1906575,booking
OYO 90011 MN Ferringhi Inn,"Batu Ferringhi Beach, Batu Ferringhi",2.0,7.1,291 reviews,78415,Penang,Malaysia,3021985,booking
OYO 1093 Ali's Motel,Teluk Bahang,2.0,8.4,148 reviews,77845,Penang,Malaysia,5101309,booking
OYO 89645 Ong's Court,George Town,2.0,5.6,147 reviews,50900,Penang,Malaysia,2541843,booking
OYO 89673 Good Friend Hotel,George Town,2.0,6.0,91 reviews,63681,Penang,Malaysia,3620032,booking
OYO 89837 Hotel Ocean 77,Kuala Lumpur,2.0,4.7,4 reviews,63072,Kuala Lumpur,Malaysia,497746,booking
OYO 89912 Jma Ferringhi Beach Hotel,"Batu Ferringhi Beach, Batu Ferringhi",2.0,6.7,12 reviews,79218,Penang,Malaysia,6140188,booking
OYO Home 89409 Lovely 3br Sri Sayang,Batu Ferringhi,nan,9.2,21 reviews,286371,Penang,Malaysia,5688688,booking
OYO Home 89367 Stylish 3br Arte S,Gelugor,nan,5.1,4 reviews,467163,Penang,Malaysia,5617475,booking
OYO Capital O 89353 Nostalgia Boutique Hotel & Restaurant,George Town,2.0,8.2,27 reviews,164380,Penang,Malaysia,4113922,booking
OYO Home 89669 Astounding 3br Arte S,Jelutong,3.0,nan,nan,281634,Penang,Malaysia,5974465,booking
OYO Home 89389 Amazing 3br Sri Sayang,Batu Ferringhi,nan,7.9,26 reviews,285748,Penang,Malaysia,5687875,booking
OYO 432 My 7days Inn,Johor Bahru,2.0,6.8,47 reviews,81609,Johor Bahru,Malaysia,4099989,booking
OYO Home 89545 Magnificent 3br Arte S,Jelutong,3.0,nan,nan,311638,Penang,Malaysia,5937967,booking
OYO Home 89664 Impressive 3br Arte S,Jelutong,3.0,nan,nan,298549,Penang,Malaysia,5965223,booking
OYO 510 Sri Indar Hotel,Bukit Mertajam,2.0,7.4,784 reviews,108172,Penang,Malaysia,712024,booking
OYO 998 Queen City Hotel,George Town,2.0,7.3,247 reviews,133123,Penang,Malaysia,2907102,booking
OYO 497 ESQ Ferringhi Hotel,Batu Ferringhi,2.0,7.6,762 reviews,84487,Penang,Malaysia,304137,booking
OYO 708 S Hotel,Perai,2.0,7.5,430 reviews,98074,Penang,Malaysia,2178447,booking
SPOT ON 89821 Batu Maung Sempoi Inn and Cafe,Bayan Lepas,2.0,5.7,21 reviews,61959,Penang,Malaysia,2588197,booking
SPOT ON 89816 Warm Blanket,Johor Bahru,2.0,6.5,45 reviews,65275,Johor Bahru,Malaysia,447220,booking
SPOT ON 89757 The Rooms Jb,Johor Bahru,2.0,nan,nan,57531,Johor Bahru,Malaysia,6242001,booking
OYO 89985 JS HOTEL,Johor Bahru,2.0,7.7,219 reviews,70804,Johor Bahru,Malaysia,2342415,booking
OYO Home 89814 Uncommon 3br Arte S,Jelutong,2.0,nan,nan,295097,Penang,Malaysia,6116858,booking
OYO Home 89667 Amazing 2br Arte S,Jelutong,3.0,nan,nan,213326,Penang,Malaysia,5937969,booking
OYO Home 89458 Amazing 2br D'summit Residence,Johor Bahru,nan,6.9,21 reviews,184681,Johor Bahru,Malaysia,5688028,booking
OYO 89880 Vstay 2 Guesthouse,George Town,2.0,7.7,32 reviews,73018,Penang,Malaysia,1238548,booking
OYO 89608 Ms Nyonya Hotel Malacca Raya,Melaka,2.0,6.2,37 reviews,71917,Malacca,Malaysia,5853433,booking
OYO 415 Straits Settlement Inn,Melaka,2.0,6.4,94 reviews,57312,Malacca,Malaysia,4009733,booking
OYO 743 Gold City Hotel,Melaka,2.0,7.8,128 reviews,82942,Malacca,Malaysia,1612034,booking
OYO 89355 Big Big Hotel,Johor Bahru,2.0,7.6,57 reviews,66343,Johor Bahru,Malaysia,1425837,booking
OYO 519 Domus Hotel,Johor Bahru,2.0,7.5,328 reviews,105243,Johor Bahru,Malaysia,4372057,booking
OYO 517 Aladdin Hotel,Johor Bahru,3.0,8.3,313 reviews,111614,Johor Bahru,Malaysia,4216777,booking
OYO 430 Oak Valley Boutique Hotel,Johor Bahru,2.0,7.6,333 reviews,72619,Johor Bahru,Malaysia,401194,booking
OYO 795 Nahdhoh Langkawi Resort,Pantai Cenang,2.0,8.4,343 reviews,108432,Kedah,Malaysia,4027742,booking
OYO 89348 RG Motel,Changlun,2.0,8.0,41 reviews,83031,Kedah,Malaysia,5577181,booking
OYO 89719 Vasa Cottage 2,Pantai Cenang,2.0,6.0,32 reviews,54216,Kedah,Malaysia,6015640,booking
OYO 552 Hotel KL Centre Point,Kuala Lumpur,2.0,7.0,175 reviews,70804,Kuala Lumpur,Malaysia,4290324,booking
OYO 44058 Motel Sre Bayam,Kulim,2.0,5.4,10 reviews,89618,Kedah,Malaysia,6020100,booking
OYO 44028 Alpha Motel,Pantai Cenang,2.0,8.0,241 reviews,87587,Kedah,Malaysia,1709252,booking
OYO Capital O 89658 Bustani Hotel,Jitra,3.0,7.3,11 reviews,100332,Kedah,Malaysia,6170507,booking
OYO 89890 MILA MOTEL 2,Pantai Cenang,2.0,7.1,114 reviews,55317,Kedah,Malaysia,548459,booking
OYO 601 I Stay Hotel,Johor Bahru,2.0,7.8,242 reviews,81874,Johor Bahru,Malaysia,2051835,booking
OYO 614 D'PINETREES HOTEL,Johor Bahru,2.0,7.2,111 reviews,67714,Johor Bahru,Malaysia,4447653,booking
OYO 89702 Md Hotel Masai,Johor Bahru,2.0,5.7,6 reviews,88339,Johor Bahru,Malaysia,5985531,booking
OYO 89652 P Line Hotel,Johor Bahru,2.0,6.5,33 reviews,77889,Johor Bahru,Malaysia,5877860,booking
OYO 44058 Motel Sre Bayam,Kulim,2.0,5.4,10 reviews,89618,Penang,Malaysia,6020100,booking
SPOT ON 89917 Eastern Inn,George Town,2.0,6.6,223 reviews,82695,Penang,Malaysia,4579447,booking
SPOT ON 89964 Padua Inn,George Town,2.0,6.0,5 reviews,71917,Penang,Malaysia,5701232,booking
OYO 43982 BJ Bayview Inn,Pantai Cenang,2.0,8.3,158 reviews,139369,Kedah,Malaysia,2274820,booking
OYO 1228 R & R MOTEL,Johor Bahru,2.0,6.8,55 reviews,84088,Johor Bahru,Malaysia,5281946,booking
OYO 89965 Stay Inn Ii,Kota Kinabalu,2.0,8.8,4 reviews,115074,Sabah,Malaysia,6222537,booking
SPOT ON 89989 Wispering Hotel,Johor Bahru,2.0,nan,nan,55317,Johor Bahru,Malaysia,6252286,booking
SPOT ON 89953 Marco Polos Kenyalang,Kuching,2.0,8.7,14 reviews,65275,Kuching,Malaysia,4792235,booking
Mendu Inn,Kuching,2.0,6.1,52 reviews,58600,Kuching,Malaysia,5252745,booking
SPOT ON 89630 Hilltop Room,Kuching,2.0,6.1,18 reviews,46428,Kuching,Malaysia,3822693,booking
OYO 1148 Kenyalang Suite,Miri,2.0,7.5,113 reviews,66343,Sarawak,Malaysia,5393361,booking
OYO 976 Dragon Inn,Miri,2.0,7.9,142 reviews,81874,Sarawak,Malaysia,5063706,booking
OYO 89465 Golden Lounge,Kuching,2.0,7.2,6 reviews,60847,Sarawak,Malaysia,5703633,booking
OYO 991 Mayfair Hotel,Kuching,2.0,7.5,122 reviews,74131,Sarawak,Malaysia,4892371,booking
OYO 44054 Holiday Mansion Inn,Sibu,2.0,8.2,54 reviews,81874,Sarawak,Malaysia,5447393,booking
OYO 89855 Salim Room,Sibu,2.0,8.3,21 reviews,51470,Sarawak,Malaysia,3230224,booking
OYO 89457 682 Lodge,Bintulu,2.0,7.9,21 reviews,59970,Sarawak,Malaysia,5703820,booking
