hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 512 Hotel San Francisco,Mactan,2.0,5.9,49 reviews,37750,Cebu,Philippines,1336307,booking
OYO 514 Adelaida Pensionne Hotel,Bantayan Island,2.0,7.9,238 reviews,444902,Cebu,Philippines,777226,booking
OYO 182 Countess Pension House,Liloan,2.0,8.6,71 reviews,103581,Cebu,Philippines,3249178,booking
RedDoorz Premium @ Wireless Mandaue Cebu,"Mandaue, Cebu City",4.0,7.7,201 reviews,117808,Cebu,Philippines,4183775,booking
OYO 495 The Pocket Hotel,Mactan,2.0,8.0,135 reviews,65167,Cebu,Philippines,5775105,booking
RedDoorz @ Wescom Road Palawan,Puerto Princesa City,2.0,8.2,58 reviews,54643,Palawan,Philippines,5209770,booking
RedDoorz @ BM Road,Puerto Princesa City,2.0,8.0,78 reviews,31008,Palawan,Philippines,3154319,booking
OYO 489 Casa Mia Hotel Suites,General Santos,2.0,8.5,16 reviews,95425,General Santos,Philippines,5868060,booking
OYO 504 Casa Mia Hotel Suites Residence,General Santos,2.0,9.9,8 reviews,152076,General Santos,Philippines,5881583,booking
OYO 458 Kathy's Home Garden Suites,General Santos,2.0,8.2,20 reviews,92361,General Santos,Philippines,5740328,booking
OYO 477 Carino Resort,Manila,2.0,7.6,6 reviews,115033,Manila,Philippines,5764585,booking
OYO 415 Florotel Gensan,General Santos,2.0,7.4,52 reviews,69993,General Santos,Philippines,1822106,booking
RedDoorz Plus near Vito Cruz Manila,"Malate, Manila",3.0,8.2,290 reviews,98688,Manila,Philippines,3971664,booking
RedDoorz Premium @ Vista Heights Legarda,Manila,4.0,8.0,156 reviews,86201,Manila,Philippines,4968896,booking
ZEN Rooms Haeinsa Condotel QC,"Quezon City, Manila",3.0,7.2,188 reviews,142233,Manila,Philippines,1075348,booking
OYO 145 Conrado's Apartelle,"Paranaque, Manila",2.0,8.1,397 reviews,191681,Manila,Philippines,2844111,booking
RedDoorz near Little Tokyo Makati,"Makati, Manila",2.0,6.8,59 reviews,89899,Manila,Philippines,3700217,booking
OYO 166 Maanyag Pension House,"Mandaue, Cebu City",2.0,7.0,257 reviews,91080,Cebu,Philippines,3086547,booking
OYO 521 Bacaca Suites,Davao City,2.0,8.7,10 reviews,159043,Davao,Philippines,6005337,booking
OYO 480 Starview Hotel,Silang,nan,8.9,14 reviews,329498,Tagaytay,Philippines,4853297,booking
OYO 151 Tierra Mercedes Nature Resort,Cuenca,2.0,7.9,12 reviews,517814,Batangas,Philippines,4797245,booking
OYO 262 North Cambridge,Baguio,2.0,7.6,49 reviews,169607,Benguet,Philippines,5529248,booking
OYO 240 Country Artist Hotel,Baguio,2.0,8.2,64 reviews,97310,Benguet,Philippines,5433635,booking
OYO 549 Sajj Bldg,Baguio,nan,7.5,23 reviews,90313,Benguet,Philippines,4108680,booking
OYO 492 Sunset View Ridge Residences,Baguio,2.0,8.5,226 reviews,63314,Benguet,Philippines,4104570,booking
OYO 175 Hotel Elegant,Baguio,2.0,7.8,330 reviews,93348,Benguet,Philippines,4953355,booking
OYO 395 ELTI Dormitel,Angeles,2.0,8.2,60 reviews,53188,Pampanga,Philippines,6015783,booking
OYO 231 Hayvenhurst,Angeles,2.0,6.8,241 reviews,59748,Pampanga,Philippines,3079216,booking
RedDoorz near Walking Street Angeles City,Angeles,2.0,7.0,96 reviews,78750,Pampanga,Philippines,4294888,booking
RedDoorz @ Josefa Subdivision Angeles City,Angeles,2.0,6.7,210 reviews,64887,Pampanga,Philippines,4211783,booking
OYO 472 Poleng Villa,Angeles,2.0,7.1,49 reviews,63768,Pampanga,Philippines,3063473,booking
OYO 252 Hotel Euroasia,Angeles,3.0,6.5,495 reviews,111352,Pampanga,Philippines,1585669,booking
RedDoorz Premium @ Outlook Drive Baguio,Baguio,nan,7.6,108 reviews,106748,Benguet,Philippines,3262618,booking
OYO 473 Ranchotel Drive-in,Biñan,2.0,6.1,47 reviews,50653,Cavite,Philippines,5752743,booking
OYO 447 Jill's Residences,Tagaytay,2.0,8.5,38 reviews,173977,Cavite,Philippines,5715901,booking
RedDoorz @ Tagaytay Road,Tagaytay,nan,6.9,43 reviews,82354,Cavite,Philippines,4560276,booking
RedDoorz @ City Market Tagaytay,Tagaytay,2.0,6.7,15 reviews,93814,Cavite,Philippines,5468092,booking
OYO 502 Roberto's Resort,Panglao,2.0,7.2,66 reviews,434153,Panglao,Philippines,496607,booking
OYO 471 Edilberto's Bed And Breakfast,Davao City,2.0,8.2,8 reviews,74626,Davao,Philippines,5756390,booking
OYO 192 TCC Condo-Hostel,Davao City,2.0,8.7,34 reviews,147714,Davao,Philippines,5415966,booking
RedDoorz @ Davao Hub General Luna,Davao City,1.0,8.1,190 reviews,54047,Davao,Philippines,1843707,booking
RedDoorz Plus @ Roxas Street Davao,Davao City,3.0,8.4,63 reviews,73933,Davao,Philippines,4968928,booking
OYO 153 Monclaire Suites,Davao City,2.0,8.5,56 reviews,111376,Davao,Philippines,4763766,booking
OYO 525 Mlin Hotel,Davao City,2.0,7.3,8 reviews,174490,Davao,Philippines,6015781,booking
OYO 470 JRJA Hotel,Davao City,2.0,9.0,9 reviews,68540,Davao,Philippines,5761828,booking
OYO 480 Starview Hotel,Silang,nan,8.9,14 reviews,329498,Cavite,Philippines,4853297,booking
OYO 407 SM Travelodge,Batangas City,2.0,6.5,22 reviews,233658,Batangas,Philippines,320889,booking
OYO 426 Coco Grove Tourist Inn,Panglao,2.0,7.7,15 reviews,188209,Panglao,Philippines,5648127,booking
OYO 151 Tierra Mercedes Nature Resort,Cuenca,2.0,7.9,12 reviews,517814,Tagaytay,Philippines,4797245,booking
RedDoorz @ BM Road,Puerto Princesa City,2.0,8.0,78 reviews,31008,Puerto Princesa,Philippines,3154319,booking
OYO 447 Jill's Residences,Tagaytay,2.0,8.5,38 reviews,173977,Tagaytay,Philippines,5715901,booking
RedDoorz @ City Market Tagaytay,Tagaytay,2.0,6.7,15 reviews,93814,Tagaytay,Philippines,5468092,booking
RedDoorz @ Tagaytay Road,Tagaytay,nan,6.9,43 reviews,82354,Tagaytay,Philippines,4560276,booking
OYO 124 Blue Dawn Boracay,"Station 3, Boracay",2.0,7.4,183 reviews,108962,Boracay,Philippines,879677,booking
RedDoorz near Robinsons Puerto Princesa,Puerto Princesa City,2.0,8.3,24 reviews,73026,Palawan,Philippines,1706687,booking
OYO 402 Royale Parc Hotel,Puerto Princesa City,2.0,8.2,166 reviews,113756,Palawan,Philippines,2286456,booking
RedDoorz Premium near Pristine Beach,Puerto Princesa City,2.0,8.4,129 reviews,49198,Palawan,Philippines,804008,booking
RedDoorz Plus @ Rizal Avenue Palawan,Puerto Princesa City,1.0,7.0,71 reviews,58587,Palawan,Philippines,678169,booking
RedDoorz @ Wescom Road Palawan,Puerto Princesa City,2.0,8.2,58 reviews,54643,Puerto Princesa,Philippines,5209770,booking
RedDoorz Plus @ Rizal Avenue Palawan,Puerto Princesa City,1.0,7.0,71 reviews,58587,Puerto Princesa,Philippines,678169,booking
RedDoorz Premium near Pristine Beach,Puerto Princesa City,2.0,8.4,129 reviews,49198,Puerto Princesa,Philippines,804008,booking
OYO 510 Baguio Vacation Hostel,Baguio,2.0,9.4,6 reviews,94203,Benguet,Philippines,6019493,booking
OYO 402 Royale Parc Hotel,Puerto Princesa City,2.0,8.2,166 reviews,113756,Puerto Princesa,Philippines,2286456,booking
RedDoorz near Robinsons Puerto Princesa,Puerto Princesa City,2.0,8.3,24 reviews,73026,Puerto Princesa,Philippines,1706687,booking
