hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
Reddoorz Plus near Tao Dan Park,"District 3, Ho Chi Minh City",2.0,7.3,61 reviews,127820,Ho Chi Minh,Vietnam,435408,booking
RedDoorz near Saigon Train Station 2,"District 10, Ho Chi Minh City",2.0,7.5,31 reviews,74920,Ho Chi Minh,Vietnam,5439358,booking
RedDoorz Plus near Nguyen Hue Walking Street,"District 4, Ho Chi Minh City",3.0,8.5,144 reviews,120436,Ho Chi Minh,Vietnam,3996134,booking
OYO 682 Long Son Hotel,"Binh Tan District, Ho Chi Minh City",3.0,nan,nan,62923,Ho Chi Minh,Vietnam,5954224,booking
OYO 457 Spring Hotel,"District 7, Ho Chi Minh City",2.0,nan,nan,104971,Ho Chi Minh,Vietnam,5700314,booking
OYO 189 Amanda Phan 3 Hotel,"District 1, Ho Chi Minh City",2.0,7.9,298 reviews,77279,Ho Chi Minh,Vietnam,4807257,booking
RedDoorz near Tan Huong Market,"Tan Phu District, Ho Chi Minh City",3.0,nan,nan,78667,Ho Chi Minh,Vietnam,5983422,booking
OYO 579 Vien Long,"District 5, Ho Chi Minh City",2.0,7.4,28 reviews,66977,Ho Chi Minh,Vietnam,5865624,booking
RedDoorz Plus @ Cach Mang Thang 8 Street,"District 10, Ho Chi Minh City",nan,7.2,12 reviews,68658,Ho Chi Minh,Vietnam,5128737,booking
OYO 131 Nhu Phuc Hotel,"District 1, Ho Chi Minh City",2.0,nan,nan,104971,Ho Chi Minh,Vietnam,4424814,booking
Yelo Hostel & Cafe,"District 1, Ho Chi Minh City",2.0,7.4,169 reviews,66084,Ho Chi Minh,Vietnam,3962780,booking
OYO 487 Sao Mai Hotel,"Phu Nhuan, Ho Chi Minh City",2.0,6.3,12 reviews,45835,Ho Chi Minh,Vietnam,5748793,booking
OYO 994 Thao Vy Hotel,"District 7, Ho Chi Minh City",2.0,nan,nan,47130,Ho Chi Minh,Vietnam,6271819,booking
RedDoorz Premium @ Nguyen Thai Son Street,"Go Vap District , Ho Chi Minh City",3.0,7.3,80 reviews,129688,Ho Chi Minh,Vietnam,3967633,booking
OYO 866 Huong Lan 2,"Tan Phu District, Ho Chi Minh City",2.0,nan,nan,42492,Ho Chi Minh,Vietnam,6096599,booking
OYO 425 Seven Stars Hotel,"Tan Binh, Ho Chi Minh City",2.0,nan,nan,69981,Ho Chi Minh,Vietnam,5723444,booking
OYO 414 Saigon Home,"District 10, Ho Chi Minh City",2.0,8.6,70 reviews,77745,Ho Chi Minh,Vietnam,5675058,booking
RedDoorz Plus near E-Town 2,"Tan Binh, Ho Chi Minh City",3.0,8.0,284 reviews,89256,Ho Chi Minh,Vietnam,4294849,booking
